home_ranking,away_ranking,ranking_diff,home_form,away_form,form_diff,home_goals_avg,away_goals_avg,h2h_home_win_rate,h2h_draw_rate,h2h_away_win_rate,h2h_total,is_neutral,result
100,100,0,0.4,0.5,-0.09999999999999998,2.2,2.0,0.0,0.0,1.0,1,0,1
100,100,0,0.7,0.5,0.19999999999999996,2.7,1.7,0.0,0.0,1.0,2,0,0
100,100,0,0.4,0.7,-0.29999999999999993,1.7,3.3,0.33,0.33,0.33,0,0,1
100,100,0,0.2,1.0,-0.8,1.0,4.4,0.33,0.33,0.33,0,0,0
100,100,0,0.2,1.0,-0.8,1.0,4.166666666666667,0.0,0.0,1.0,1,0,1
100,100,0,0.2,0.8571428571428571,-0.657142857142857,1.1,3.7142857142857144,0.0,0.5,0.5,2,0,0
100,100,0,0.5555555555555556,0.2,0.35555555555555557,1.7777777777777777,1.5,1.0,0.0,0.0,3,1,1
100,100,0,0.3,0.875,-0.575,1.8,4.0,0.33,0.33,0.33,0,0,2
100,100,0,0.1,0.5,-0.4,1.4,2.5,0.33,0.33,0.33,0,0,0
100,100,0,0.4,0.7777777777777778,-0.37777777777777777,2.0,3.7777777777777777,1.0,0.0,0.0,1,0,2
100,100,0,0.5,0.5,0.0,2.8,1.2,0.8571428571428571,0.14285714285714285,0.0,7,0,2
100,100,0,0.3,0.4,-0.10000000000000003,1.6,1.2,0.33,0.33,0.33,0,0,2
100,100,0,0.4,0.7,-0.29999999999999993,2.1,3.4,1.0,0.0,0.0,2,0,2
100,100,0,0.5,0.6,-0.09999999999999998,1.1,3.7,0.0,0.125,0.875,8,0,0
100,100,0,0.5,0.3,0.2,1.6,1.5,0.33,0.33,0.33,0,0,0
100,100,0,0.7,0.0,0.7,2.5,1.1,1.0,0.0,0.0,1,0,2
100,100,0,0.0,0.4,-0.4,1.0,2.3,0.0,0.0,1.0,1,0,0
100,100,0,0.4,0.5,-0.09999999999999998,1.9,2.0,0.5,0.0,0.5,2,0,2
100,100,0,0.0,0.3,-0.3,1.0,1.3,0.3333333333333333,0.0,0.6666666666666666,3,0,0
100,100,0,0.5,0.5,0.0,2.6,1.5,1.0,0.0,0.0,1,0,2
100,100,0,0.4,0.4,0.0,1.9,1.3,1.0,0.0,0.0,1,0,2
100,100,0,0.2,0.4,-0.2,1.7,2.2,0.3191489361702128,0.19148936170212766,0.48936170212765956,47,0,0
100,100,0,0.6,0.4,0.19999999999999996,3.2,2.2,0.45454545454545453,0.0,0.5454545454545454,11,0,2
100,100,0,0.4,0.5,-0.09999999999999998,2.3,3.0,0.33,0.33,0.33,0,1,0
100,100,0,0.6,0.7,-0.09999999999999998,1.7,3.2,0.33,0.33,0.33,0,1,0
100,100,0,0.6,0.5,0.09999999999999998,3.1,2.1,1.0,0.0,0.0,3,1,2
100,100,0,0.2,0.5,-0.3,1.9,3.0,0.75,0.0,0.25,4,1,0
100,100,0,0.7,0.7,0.0,2.6,3.8,0.33,0.33,0.33,0,1,0
100,100,0,0.5,0.6,-0.09999999999999998,1.8,3.0,1.0,0.0,0.0,2,1,2
100,100,0,0.5,0.4,0.09999999999999998,2.6,2.2,0.5,0.5,0.0,2,1,0
100,100,0,0.8,0.5,0.30000000000000004,2.8,3.1,0.33,0.33,0.33,0,0,2
100,100,0,0.5,0.2,0.3,2.9,1.3,0.3333333333333333,0.0,0.6666666666666666,9,1,0
100,100,0,0.7,0.5,0.19999999999999996,3.3,2.4,0.33783783783783783,0.24324324324324326,0.4189189189189189,74,1,2
100,100,0,0.6,0.3,0.3,2.0,1.6,0.5,0.16666666666666666,0.3333333333333333,6,1,2
100,100,0,0.6,0.7,-0.09999999999999998,3.4,2.7,0.3,0.2,0.5,10,1,2
100,100,0,0.8,0.8,0.0,3.1,4.0,0.3,0.4,0.3,10,0,1
100,100,0,0.7,0.7,0.0,2.9,3.6,0.2727272727272727,0.45454545454545453,0.2727272727272727,11,0,2
100,100,0,0.6,0.7,-0.09999999999999998,2.1,3.6,0.33,0.33,0.33,0,1,2
100,100,0,0.7,0.7,0.0,2.7,3.1,0.07692307692307693,0.3076923076923077,0.6153846153846154,13,0,2
100,100,0,0.7,0.7,0.0,2.8,3.6,0.6666666666666666,0.1111111111111111,0.2222222222222222,9,1,0
100,100,0,0.7,0.7,0.0,2.5,2.4,0.3,0.4,0.3,10,0,2
100,100,0,0.5,0.4,0.09999999999999998,1.7,2.1,0.8571428571428571,0.14285714285714285,0.0,14,1,2
100,100,0,0.125,0.3,-0.175,0.75,1.1,0.0,0.0,1.0,3,0,0
100,100,0,0.4,0.3,0.10000000000000003,2.1,0.8,0.0,0.0,1.0,10,1,0
100,100,0,0.1111111111111111,0.6,-0.4888888888888889,0.6666666666666666,2.0,0.0,0.0,1.0,2,0,0
100,100,0,0.1,0.4,-0.30000000000000004,0.7,2.1,0.33,0.33,0.33,0,0,2
100,100,0,0.6,0.4,0.19999999999999996,2.1,1.0,0.3939393939393939,0.24242424242424243,0.36363636363636365,99,1,0
100,100,0,0.6,0.2,0.39999999999999997,2.7,0.8,0.33,0.33,0.33,0,1,2
100,100,0,0.5,0.3,0.2,1.9,1.6,0.8666666666666667,0.13333333333333333,0.0,15,0,2
100,100,0,0.3,0.4,-0.10000000000000003,1.4,1.1,0.5,0.14285714285714285,0.35714285714285715,14,1,2
100,100,0,0.6,0.3,0.3,2.6,1.5,0.6,0.4,0.0,5,1,2
100,100,0,0.1,0.4,-0.30000000000000004,0.7,1.3,0.0,0.0,1.0,4,1,0
100,100,0,0.6,0.4,0.19999999999999996,1.9,1.7,0.6538461538461539,0.23076923076923078,0.11538461538461539,26,0,2
100,100,0,0.3,0.5,-0.2,1.7,1.5,0.0,0.0,1.0,11,1,2
100,100,0,0.6,0.3,0.3,2.9,1.5,0.75,0.125,0.125,8,1,2
100,100,0,0.7,0.1,0.6,2.3,0.8,1.0,0.0,0.0,3,0,2
100,100,0,0.3,0.3,0.0,1.7,1.4,0.3333333333333333,0.0,0.6666666666666666,3,1,0
100,100,0,0.6,0.5,0.09999999999999998,3.0,1.5,0.3333333333333333,0.16666666666666666,0.5,12,1,2
100,100,0,0.3,0.1,0.19999999999999998,1.7,0.8,0.0,0.0,1.0,1,1,1
100,100,0,0.7,0.4,0.29999999999999993,2.3,1.6,0.3942307692307692,0.2403846153846154,0.36538461538461536,104,0,0
100,100,0,0.3,0.1,0.19999999999999998,1.2,0.9,1.0,0.0,0.0,1,1,0
100,100,0,0.6,0.6,0.0,2.1,2.9,0.4666666666666667,0.2,0.3333333333333333,15,0,2
100,100,0,0.6,0.5,0.09999999999999998,1.8,2.7,0.5,0.1875,0.3125,16,0,2
100,100,0,0.5,0.1,0.4,2.5,1.2,0.75,0.125,0.125,24,0,2
100,100,0,0.5,0.2,0.3,2.2,1.4,0.9090909090909091,0.09090909090909091,0.0,11,0,2
100,100,0,0.1,0.6,-0.5,1.0,2.6,0.16666666666666666,0.16666666666666666,0.6666666666666666,6,0,0
100,100,0,0.4,0.2,0.2,2.3,1.6,0.5909090909090909,0.2727272727272727,0.13636363636363635,22,0,2
100,100,0,0.1,0.3,-0.19999999999999998,0.8,1.6,0.4444444444444444,0.3333333333333333,0.2222222222222222,18,0,0
100,100,0,0.7,0.4,0.29999999999999993,2.8,1.7,1.0,0.0,0.0,1,0,2
100,100,0,0.2,0.5,-0.3,1.6,2.6,0.13043478260869565,0.2608695652173913,0.6086956521739131,23,0,0
